C.Power Supply Position in States,,,,,,,,Date
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",01.01.14
NR,Punjab,8160,0,185.6,105.0,-1.9,183,0.0,05.10.20
,Haryana,7240,0,162.5,129.8,2.0,223,0.0,05.10.20
,Rajasthan,11054,0,239.1,73.3,-0.9,267,0.0,05.10.20
,Delhi,4113,0,85.3,74.1,-0.7,220,0.0,05.10.20
,UP,19954,0,394.9,164.7,-0.6,393,0.5,05.10.20
,Uttarakhand,1742,0,36.2,20.3,1.0,224,0.0,05.10.20
,HP,1297,0,27.5,10.9,0.2,245,0.0,05.10.20
,J&K(UT) & Ladakh(UT),2506,0,46.9,30.1,1.9,345,0.0,05.10.20
,Chandigarh,197,0,3.8,3.9,-0.1,11,0.0,05.10.20
WR,Chhattisgarh,3367,0,83.4,30.3,-1.0,197,0.0,05.10.20
,Gujarat,15160,0,344.7,79.9,1.3,484,0.0,05.10.20
,MP,9715,0,215.2,134.7,-1.2,447,0.0,05.10.20
,Maharashtra,18577,0,411.2,127.4,0.4,615,0.0,05.10.20
,Goa,422,0,8.9,8.4,-0.1,53,0.0,05.10.20
,DD,293,0,6.8,6.5,0.3,38,0.0,05.10.20
,DNH,763,0,17.8,17.6,0.3,44,0.0,05.10.20
,AMNSIL,812,0,17.8,1.2,0.6,247,0.0,05.10.20
SR,Andhra Pradesh,7131,0,155.3,46.1,-1.1,392,0.0,05.10.20
,Telangana,8958,0,183.7,65.4,0.2,513,0.0,05.10.20
,Karnataka,7539,0,146.9,47.6,0.7,648,0.0,05.10.20
,Kerala,3129,0,62.4,36.6,0.4,198,0.0,05.10.20
,Tamil Nadu,12383,0,281.9,127.0,-2.0,634,0.0,05.10.20
,Puducherry,328,0,6.8,7.0,-0.2,30,0.0,05.10.20
ER,Bihar,5410,0,107.6,102.1,0.5,306,0.0,05.10.20
,DVC,3041,0,62.3,-45.4,-1.0,294,0.0,05.10.20
,Jharkhand,1421,0,26.9,21.2,-1.9,124,0.0,05.10.20
,Odisha,4420,0,91.9,24.5,-0.5,345,0.0,05.10.20
,West Bengal,7704,0,151.5,44.5,0.3,431,0.0,05.10.20
,Sikkim,71,0,1.0,1.2,-0.2,9,0.0,05.10.20
NER,Arunachal Pradesh,108,2,2.0,2.1,-0.1,37,0.0,05.10.20
,Assam,1801,25,31.8,28.3,-0.1,125,0.0,05.10.20
,Manipur,193,1,2.7,2.6,0.2,28,0.0,05.10.20
,Meghalaya,324,0,5.7,1.0,-0.3,28,0.0,05.10.20
,Mizoram,85,1,1.5,1.0,0.3,16,0.0,05.10.20
,Nagaland,118,2,2.6,2.4,-0.1,24,0.0,05.10.20
,Tripura,330,1,4.7,6.5,0.1,47,0.0,05.10.20
NR,Punjab,9175,650,183.5,94.4,-1.2,141,7.78,05.10.21
,Haryana,8216,0,177.1,126.9,-1.0,240,5.34,05.10.21
,Rajasthan,10828,232,223.0,64.9,3.7,642,24.20,05.10.21
,Delhi,5349,0,112.4,86.7,-0.4,232,0.00,05.10.21
,UP,17712,0,382.0,160.1,-0.3,412,6.76,05.10.21
,Uttarakhand,2024,0,41.5,18.6,1.2,161,0.76,05.10.21
,HP,1399,0,29.6,5.1,0.7,235,0.92,05.10.21
,J&K(UT) & Ladakh(UT),2604,200,46.2,27.6,2.1,320,3.45,05.10.21
,Chandigarh,264,0,5.5,4.8,0.6,99,0.00,05.10.21
WR,Chhattisgarh,4010,0,94.4,42.5,0.1,255,0.00,05.10.21
,Gujarat,14687,207,333.2,181.0,7.7,1213,9.70,05.10.21
,MP,10384,0,226.2,133.7,-0.1,452,0.00,05.10.21
,Maharashtra,20825,0,449.3,153.9,-2.6,578,0.00,05.10.21
,Goa,616,0,13.7,12.6,0.5,48,0.00,05.10.21
,DD,350,0,7.6,6.8,0.8,85,0.00,05.10.21
,DNH,860,0,14.5,19.4,-4.9,99,0.00,05.10.21
,AMNSIL,842,0,18.3,8.1,0.0,328,0.00,05.10.21
SR,Andhra Pradesh,9477,0,195.7,97.7,3.7,1174,0.00,05.10.21
,Telangana,9841,0,197.4,36.1,-2.5,384,0.00,05.10.21
,Karnataka,9194,0,183.6,49.7,-2.6,644,0.00,05.10.21
,Kerala,3543,0,74.0,36.5,-0.4,261,0.00,05.10.21
,Tamil Nadu,13697,0,295.6,179.2,-0.5,747,0.00,05.10.21
,Puducherry,374,0,8.0,8.5,-0.5,22,0.00,05.10.21
ER,Bihar,4964,1738,94.4,86.2,1.6,574,8.29,05.10.21
,DVC,2947,350,62.8,-26.5,3.2,467,2.78,05.10.21
,Jharkhand,1320,480,25.3,20.1,-1.2,189,5.70,05.10.21
,Odisha,5534,0,114.5,27.5,-0.3,339,0.00,05.10.21
,West Bengal,8122,0,166.9,38.8,-1.1,258,0.00,05.10.21
,Sikkim,93,0,1.6,1.3,0.3,46,0.00,05.10.21
NER,Arunachal Pradesh,143,0,2.4,2.1,0.1,39,0.00,05.10.21
,Assam,1864,0,33.1,25.3,0.4,160,0.10,05.10.21
,Manipur,194,0,2.6,2.7,-0.1,32,0.00,05.10.21
,Meghalaya,309,0,5.7,0.4,-0.1,32,0.00,05.10.21
,Mizoram,112,0,1.7,0.8,0.4,26,0.00,05.10.21
,Nagaland,131,0,2.3,2.1,-0.3,18,0.00,05.10.21
,Tripura,274,0,4.6,5.7,-0.3,22,0.00,05.10.21
NR,Punjab,11237,0,237.6,142.4,-2.1,95,0.00,05.10.22
,Haryana,7639,0,165.2,113.7,-0.8,188,0.00,05.10.22
,Rajasthan,13085,0,277.0,115.1,-0.5,216,0.00,05.10.22
,Delhi,4693,0,96.2,87.7,0.2,247,0.00,05.10.22
,UP,18242,0,356.0,137.9,-2.7,684,0.00,05.10.22
,Uttarakhand,1730,0,38.0,14.2,0.2,128,0.12,05.10.22
,HP,1519,0,29.5,3.9,0.6,94,0.00,05.10.22
,J&K(UT) & Ladakh(UT),2730,0,52.1,39.1,1.0,218,0.00,05.10.22
,Chandigarh,221,0,4.6,4.7,-0.2,13,0.00,05.10.22
WR,Chhattisgarh,4220,0,98.3,42.8,-0.8,177,0.00,05.10.22
,Gujarat,18473,0,393.5,229.9,-0.8,858,0.00,05.10.22
,MP,9785,0,216.5,99.1,0.0,303,0.00,05.10.22
,Maharashtra,20386,0,456.7,195.1,-1.2,847,0.00,05.10.22
,Goa,586,0,11.4,12.1,-1.2,37,0.00,05.10.22
,DNHDDPDCL,1102,0,22.0,21.9,0.1,91,0.00,05.10.22
,AMNSIL,683,0,14.0,7.7,0.0,331,0.00,05.10.22
SR,Andhra Pradesh,8670,0,177.1,48.3,-1.0,466,0.00,05.10.22
,Telangana,11422,0,199.1,39.2,0.4,722,0.00,05.10.22
,Karnataka,8011,0,154.4,46.7,-1.2,491,0.00,05.10.22
,Kerala,3636,0,75.0,47.3,-0.2,229,0.00,05.10.22
,Tamil Nadu,14347,0,303.4,153.5,0.5,870,0.00,05.10.22
,Puducherry,402,0,8.9,8.5,-0.2,39,0.00,05.10.22
ER,Bihar,5488,218,100.1,93.0,1.2,320,0.30,05.10.22
,DVC,2925,0,64.5,-20.9,-0.2,246,0.00,05.10.22
,Jharkhand,1332,0,27.6,18.0,-1.5,198,0.00,05.10.22
,Odisha,6163,0,131.2,54.4,-1.6,458,0.00,05.10.22
,West Bengal,6762,0,138.3,-3.5,0.1,437,0.00,05.10.22
,Sikkim,66,0,0.9,1.1,-0.1,16,0.00,05.10.22
NER,Arunachal Pradesh,102,0,2.3,2.3,-0.2,42,0.00,05.10.22
,Assam,1646,0,28.9,20.7,-0.6,186,0.00,05.10.22
,Manipur,178,0,2.5,2.7,-0.1,21,0.00,05.10.22
,Meghalaya,323,0,5.7,1.8,-0.2,41,0.00,05.10.22
,Mizoram,108,0,1.8,0.4,0.0,61,0.00,05.10.22
,Nagaland,148,0,2.6,2.0,0.0,11,0.00,05.10.22
,Tripura,288,0,4.6,4.7,-0.4,27,0.00,05.10.22
NR,Punjab,10838,0,221.0,93.6,0.2,162,0.00,05.10.23
,Haryana,9390,0,195.9,127.1,-0.1,171,0.78,05.10.23
,Rajasthan,13859,0,295.1,76.1,-5.6,202,0.00,05.10.23
,Delhi,4843,0,100.9,88.9,-0.9,227,0.00,05.10.23
,UP,22128,0,432.0,161.5,1.1,1353,0.62,05.10.23
,Uttarakhand,2096,120,43.8,28.1,0.4,146,0.39,05.10.23
,HP,1698,0,34.3,16.9,1.2,365,0.04,05.10.23
,J&K(UT) & Ladakh(UT),2350,200,47.2,30.7,5.0,463,1.57,05.10.23
,Chandigarh,253,0,5.0,5.0,0.0,41,0.00,05.10.23
,Railways_NR ISTS,163,0,3.0,3.3,-0.3,53,0.00,05.10.23
WR,Chhattisgarh,4703,0,104.9,46.2,-0.9,170,0.00,05.10.23
,Gujarat,20620,0,417.8,161.0,-0.1,669,0.00,05.10.23
,MP,12419,0,263.7,112.7,-4.0,324,0.00,05.10.23
,Maharashtra,24325,183,528.1,210.1,-3.9,730,0.27,05.10.23
,Goa,695,0,14.1,12.6,1.1,84,0.00,05.10.23
,DNHDDPDCL,1316,0,30.2,29.7,0.5,178,0.00,05.10.23
,AMNSIL,853,0,18.5,9.3,-0.2,244,0.00,05.10.23
,BALCO,524,0,12.5,12.5,0.0,40,0.00,05.10.23
SR,Andhra Pradesh,11234,0,228.4,123.3,2.5,1592,0.00,05.10.23
,Telangana,14351,0,278.0,144.0,-0.1,599,0.00,05.10.23
,Karnataka,14552,0,265.7,114.2,4.0,945,3.90,05.10.23
,Kerala,4120,0,81.4,59.2,1.0,339,0.00,05.10.23
,Tamil Nadu,17386,0,369.2,184.2,1.2,979,0.00,05.10.23
,Puducherry,463,0,10.3,9.7,-0.1,27,0.00,05.10.23
ER,Bihar,5548,0,103.2,94.5,-0.5,358,0.09,05.10.23
,DVC,3189,0,69.5,-19.8,1.8,402,0.00,05.10.23
,Jharkhand,1589,0,30.4,21.6,-1.8,225,0.57,05.10.23
,Odisha,5564,0,121.7,49.7,-0.1,523,0.00,05.10.23
,West Bengal,8249,0,172.2,60.2,-2.1,241,0.00,05.10.23
,Sikkim,62,0,0.8,0.3,0.6,57,0.00,05.10.23
,Railways_ER ISTS,16,0,0.2,0.2,0.0,11,0.00,05.10.23
NER,Arunachal Pradesh,168,0,3.1,3.0,-0.4,52,0.00,05.10.23
,Assam,1971,0,37.9,30.4,0.8,175,0.00,05.10.23
,Manipur,187,0,2.8,3.0,-0.1,30,0.00,05.10.23
,Meghalaya,322,0,5.7,2.0,-0.3,76,0.00,05.10.23
,Mizoram,119,0,1.9,1.3,-0.3,14,0.00,05.10.23
,Nagaland,162,0,3.0,2.6,-0.1,29,0.00,05.10.23
,Tripura,284,0,5.0,4.6,0.1,38,0.00,05.10.23
NR,Punjab,14127,0,281.4,154.0,-2.1,881,0.00,05.10.24
,Haryana,9636,0,209.2,142.9,-3.7,371,0.00,05.10.24
,Rajasthan,15539,0,336.0,125.9,0.0,881,0.00,05.10.24
,Delhi,5858,0,125.3,110.5,-1.1,294,0.00,05.10.24
,UP,25798,0,521.7,196.6,0.8,487,0.00,05.10.24
,Uttarakhand,2377,0,48.3,28.2,0.7,134,0.00,05.10.24
,HP,1814,0,36.7,15.6,0.1,148,0.00,05.10.24
,J&K(UT) & Ladakh(UT),2395,0,50.5,31.8,2.0,358,0.98,05.10.24
,Chandigarh,286,0,5.5,5.4,0.2,38,0.00,05.10.24
,Railways_NR ISTS,190,0,3.9,3.8,0.1,36,0.00,05.10.24
WR,Chhattisgarh,5889,0,134.1,85.3,-0.5,321,0.00,05.10.24
,Gujarat,20256,0,440.7,172.7,-2.7,582,0.00,05.10.24
,MP,13046,0,276.1,159.2,-2.9,268,0.00,05.10.24
,Maharashtra,25769,626,553.0,205.8,3.0,860,1.23,05.10.24
,Goa,727,0,16.3,14.6,1.7,60,0.00,05.10.24
,DNHDDPDCL,1336,0,31.0,31.0,0.0,73,0.00,05.10.24
,AMNSIL,823,0,18.1,8.4,0.5,265,0.00,05.10.24
,BALCO,530,0,12.7,12.7,0.0,10,0.00,05.10.24
SR,Andhra Pradesh,10554,0,222.7,55.2,0.3,582,0.00,05.10.24
,Telangana,13024,0,258.3,109.1,-1.9,228,0.00,05.10.24
,Karnataka,10850,0,216.9,66.4,-1.3,389,0.00,05.10.24
,Kerala,4290,0,87.4,64.0,0.5,217,0.00,05.10.24
,Tamil Nadu,16455,0,356.3,192.1,3.5,879,0.00,05.10.24
,Puducherry,442,0,10.4,10.0,-0.2,43,0.00,05.10.24
ER,Bihar,6945,0,138.5,130.2,-2.6,145,0.00,05.10.24
,DVC,3453,0,72.7,-44.5,-0.6,277,0.00,05.10.24
,Jharkhand,2141,0,44.0,30.0,0.9,260,0.00,05.10.24
,Odisha,6247,0,130.8,31.3,-2.0,435,0.00,05.10.24
,West Bengal,8792,0,191.2,49.1,-2.2,312,0.00,05.10.24
,Sikkim,88,0,1.4,1.6,-0.2,7,0.00,05.10.24
,Railways_ER ISTS,23,0,0.1,0.2,0.0,1,0.00,05.10.24
NER,Arunachal Pradesh,146,0,5.2,1.9,2.6,50,0.00,05.10.24
,Assam,1851,0,33.9,25.9,0.7,156,0.00,05.10.24
,Manipur,213,0,1.5,2.9,-1.5,33,0.00,05.10.24
,Meghalaya,269,0,4.4,-1.5,-0.3,33,0.00,05.10.24
,Mizoram,118,0,1.9,0.8,-0.7,3,0.00,05.10.24
,Nagaland,165,0,1.6,2.2,-1.2,17,0.00,05.10.24
,Tripura,256,0,5.2,4.1,0.1,43,0.00,05.10.24
RegionRegion,States,"Max. Demand Met
during the day
(MW)","Peak hour
Shortage (MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",05.11.13
NR,Punjab,4029,0,73.5,37.0,2.4,355,05.11.13
,Haryana,4636,0,85.0,28.7,0.7,350,05.11.13
,Rajasthan,7309,0,148.1,67.5,-3.8,93,05.11.13
,Delhi,2807,0,51.9,37.8,-3.1,235,05.11.13
,UP,11450,60,235.1,104.7,-4.1,722,05.11.13
,Uttarakhand,1378,30,24.5,17.1,-1.3,29,05.11.13
,HP,934,0,16.0,7.5,0.6,120,05.11.13
,J&K,1857,90,35.8,28.2,-0.7,108,05.11.13
,Chandigarh,161,0,2.9,3.1,-0.2,7,05.11.13
WR,Chhattisgarh,2469,9,51.6,8.3,-1.3,475,05.11.13
,Gujarat,8073,0,173.6,16.0,3.7,600,05.11.13
,MP,7753,0,170.1,112.6,-11.1,487,05.11.13
,Maharashtra,14541,57,324.5,108.9,-1.5,975,05.11.13
,Goa,403,0,7.8,6.2,1.0,139,05.11.13
,DD,84,0,2.0,2.9,-0.9,0,05.11.13
,DNH,433,0,9.4,10.4,-1.0,96,05.11.13
,Essar steel,279,0,4.7,4.2,0.5,51,05.11.13
SR,Andhra Pradesh,10153,0,219.6,82.0,1.9,395,05.11.13
,Karnataka,6642,400,137.0,20.6,0.1,207,05.11.13
,Kerala,3185,150,57.1,34.3,1.2,240,05.11.13
,Tamil Nadu,9760,641,205.0,74.3,-0.9,232,05.11.13
,Pondy,283,0,5.0,5.9,-0.8,27,05.11.13
ER,Bihar,2189,300,40.9,35.6,2.9,398,05.11.13
,DVC,2430,300,55.2,-17.7,4.1,485,05.11.13
,Jharkhand,926,0,20.0,13.2,-0.8,75,05.11.13
,Odisha,3241,0,61.8,12.6,-0.4,215,05.11.13
,West Bengal,6847,0,107.3,15.7,-1.2,305,05.11.13
,Sikkim,86,0,1.6,1.0,0.6,20,05.11.13
NER,Arunachal Pradesh,120,1,1.5,1.6,-0.1,51,05.11.13
,Assam,1122,50,18.8,11.9,1.1,228,05.11.13
,Manipur,123,2,1.4,2.1,-0.6,13,05.11.13
,Meghalaya,242,3,4.4,2.7,0.4,131,05.11.13
,Mizoram,63,3,1.1,1.1,-0.2,9,05.11.13
,Nagaland,96,1,1.4,1.3,0.0,25,05.11.13
,Tripura,187,17,3.3,0.4,0.3,74,05.11.13
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",05.11.14
NR,Punjab,4443,0,91.3,51.5,1.5,215,05.11.14
,Haryana,6249,0,111.8,51.1,1.3,353,05.11.14
,Rajasthan,9393,0,202.2,63.2,2.6,312,05.11.14
,Delhi,3159,0,59.7,40.3,-4.1,46,05.11.14
,UP,8953,2670,211.8,86.4,-0.7,427,05.11.14
,Uttarakhand,1490,235,30.2,19.2,2.5,249,05.11.14
,HP,1271,0,24.2,16.6,0.6,130,05.11.14
,J&K,1919,0,38.3,28.5,1.5,253,05.11.14
,Chandigarh,188,0,3.4,3.3,0.1,23,05.11.14
WR,Chhattisgarh,3014,18,64.0,9.4,3.3,146,05.11.14
,Gujarat,12282,0,277.5,53.0,0.8,346,05.11.14
,MP,9257,0,203.1,111.4,-0.3,264,05.11.14
,Maharashtra,19112,876,396.6,130.5,4.1,406,05.11.14
,Goa,399,0,8.0,8.0,-0.5,52,05.11.14
,DD,268,0,6.1,6.1,-0.1,16,05.11.14
,DNH,646,0,16.7,15.0,1.7,17,05.11.14
,Essar steel,378,0,8.3,8.2,0.1,54,05.11.14
SR,Andhra Pradesh,5644,160,127.7,21.8,2.4,270,05.11.14
,Telangana,5516,300,126.4,70.4,1.0,249,05.11.14
,Karnataka,7677,600,161.0,21.1,2.3,536,05.11.14
,Kerala,3134,400,59.3,28.9,2.0,303,05.11.14
,Tamil Nadu,10627,869,227.0,63.2,0.9,513,05.11.14
,Pondy,287,0,5.4,5.7,-0.3,32,05.11.14
ER,Bihar,2437,0,45.7,49.1,-5.3,60,05.11.14
,DVC,2331,0,52.8,-15.8,0.1,180,05.11.14
,Jharkhand,1027,0,19.5,10.3,-2.0,70,05.11.14
,Odisha,3736,100,69.5,19.2,2.8,310,05.11.14
,West Bengal,6395,0,116.8,18.3,2.4,240,05.11.14
,Sikkim,85,0,1.6,1.4,0.2,30,05.11.14
NER,Arunachal Pradesh,107,3,1.7,1.5,0.3,34,05.11.14
,Assam,1232,53,21.8,13.8,2.1,183,05.11.14
,Manipur,134,2,2.1,2.2,-0.1,43,05.11.14
,Meghalaya,283,2,4.9,3.9,-0.1,27,05.11.14
,Mizoram,74,1,1.2,1.1,0.1,18,05.11.14
,Nagaland,93,17,1.9,1.3,0.1,32,05.11.14
,Tripura,205,18,2.7,0.8,-0.2,49,05.11.14
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",05.11.15
NR,Punjab,4768,0,95.0,48.0,0.0,215,05.11.15
,Haryana,6344,0,114.0,67.4,-0.3,230,05.11.15
,Rajasthan,9648,0,202.2,74.7,2.8,403,05.11.15
,Delhi,3440,0,65.7,51.8,-0.3,210,05.11.15
,UP,10815,1250,226.4,113.7,-0.1,528,05.11.15
,Uttarakhand,1665,0,32.1,22.3,1.5,276,05.11.15
,HP,1361,0,23.9,16.9,1.0,117,05.11.15
,J&K,1993,498,38.1,29.3,0.1,406,05.11.15
,Chandigarh,190,0,3.5,3.5,0.3,18,05.11.15
WR,Chhattisgarh,3192,96,71.1,19.5,0.0,115,05.11.15
,Gujarat,13465,0,297.7,67.8,-3.1,445,05.11.15
,MP,8920,0,202.5,135.2,-1.3,318,05.11.15
,Maharashtra,20277,365,440.9,126.2,0.1,516,05.11.15
,Goa,389,0,8.7,6.9,1.4,115,05.11.15
,DD,300,0,6.8,6.4,0.3,46,05.11.15
,DNH,700,0,16.4,16.7,-0.3,20,05.11.15
,Essar steel,319,0,6.2,6.9,-0.7,104,05.11.15
SR,Andhra Pradesh,6306,0,141.8,33.0,0.5,478,05.11.15
,Telangana,6449,0,144.7,85.9,2.2,262,05.11.15
,Karnataka,7329,1000,153.8,39.9,4.3,383,05.11.15
,Kerala,3062,0,61.7,47.3,2.4,221,05.11.15
,Tamil Nadu,12185,0,252.5,131.4,5.6,641,05.11.15
,Pondy,311,0,6.2,6.3,-0.1,26,05.11.15
ER,Bihar,3204,0,61.1,62.5,-1.4,232,05.11.15
,DVC,2460,100,58.0,-7.7,-0.4,195,05.11.15
,Jharkhand,964,0,23.3,11.8,-0.2,0,05.11.15
,Odisha,3925,0,73.0,19.7,1.6,308,05.11.15
,West Bengal,7122,0,137.6,38.9,1.4,188,05.11.15
,Sikkim,91,0,1.4,1.1,0.4,39,05.11.15
NER,Arunachal Pradesh,95,7,1.8,1.9,0.0,31,05.11.15
,Assam,1262,88,21.9,15.2,1.4,154,05.11.15
,Manipur,146,5,2.3,2.3,0.0,27,05.11.15
,Meghalaya,291,2,4.4,4.8,-1.1,53,05.11.15
,Mizoram,73,4,1.3,1.4,-0.1,10,05.11.15
,Nagaland,110,5,1.8,1.7,0.0,50,05.11.15
,Tripura,226,0,3.9,1.1,0.7,51,05.11.15
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",05.11.16
NR,Punjab,4649,0,100.9,49.3,-0.5,141,05.11.16
,Haryana,6435,0,111.1,77.9,-2.1,136,05.11.16
,Rajasthan,9325,488,200.4,75.7,1.5,180,05.11.16
,Delhi,3382,0,63.9,54.8,0.1,110,05.11.16
,UP,12909,0,275.1,85.0,0.9,612,05.11.16
,Uttarakhand,1714,0,33.8,20.8,0.0,146,05.11.16
,HP,1306,0,26.7,16.8,0.4,165,05.11.16
,J&K,1877,469,36.5,32.4,-3.3,32,05.11.16
,Chandigarh,183,0,3.3,3.5,-0.2,20,05.11.16
WR,Chhattisgarh,3213,0,70.9,10.2,-0.9,106,05.11.16
,Gujarat,10737,0,239.6,68.4,-4.4,528,05.11.16
,MP,9521,0,207.0,131.6,-2.1,332,05.11.16
,Maharashtra,20158,0,424.8,124.9,0.8,419,05.11.16
,Goa,450,0,9.3,7.9,0.9,68,05.11.16
,DD,295,0,6.5,6.4,0.1,29,05.11.16
,DNH,744,0,16.9,17.2,-0.3,-8,05.11.16
,Essar steel,373,0,6.6,6.6,0.0,142,05.11.16
SR,Andhra Pradesh,6978,0,162.1,20.0,3.9,551,05.11.16
,Telangana,7561,0,154.3,73.7,0.5,226,05.11.16
,Karnataka,8617,750,198.6,89.5,6.3,610,05.11.16
,Kerala,3428,0,65.1,51.4,2.3,279,05.11.16
,Tamil Nadu,12972,0,277.2,125.6,-1.4,545,05.11.16
,Pondy,341,0,7.0,7.1,-0.1,36,05.11.16
ER,Bihar,3743,0,69.2,65.7,-2.3,302,05.11.16
,DVC,2569,0,60.7,-35.6,-1.3,345,05.11.16
,Jharkhand,1163,0,23.6,13.7,0.2,135,05.11.16
,Odisha,3828,0,68.8,14.7,-0.7,398,05.11.16
,West Bengal,7460,0,127.0,46.5,-1.5,402,05.11.16
,Sikkim,90,0,1.4,1.3,0.1,20,05.11.16
NER,Arunachal Pradesh,114,7,2.0,1.8,0.2,16,05.11.16
,Assam,1431,8,25.3,18.2,2.2,143,05.11.16
,Manipur,131,7,1.9,2.0,-0.2,9,05.11.16
,Meghalaya,235,10,4.6,4.0,-0.5,39,05.11.16
,Mizoram,72,5,1.2,1.4,-0.2,14,05.11.16
,Nagaland,101,4,1.7,1.8,-0.1,12,05.11.16
,Tripura,215,0,3.6,3.5,-0.4,46,05.11.16
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy
Met (MU)","Drawal
Schedule (MU)","OD(+)/
UD(-) (MU)","Max
OD (MW)",05.11.16
NR,Punjab,4649,0,100.9,49.3,-0.5,141,05.11.16
,Haryana,6435,0,111.1,77.9,-2.1,136,05.11.16
,Rajasthan,9325,488,200.4,75.7,1.5,180,05.11.16
,Delhi,3382,0,63.9,54.8,0.1,110,05.11.16
,UP,12909,0,275.1,85.0,0.9,612,05.11.16
,Uttarakhand,1714,0,33.8,20.8,0.0,146,05.11.16
,HP,1306,0,26.7,16.8,0.4,165,05.11.16
,J&K,1877,469,36.5,32.4,-3.3,32,05.11.16
,Chandigarh,183,0,3.3,3.5,-0.2,20,05.11.16
WR,Chhattisgarh,3213,0,70.9,10.2,-0.9,106,05.11.16
,Gujarat,10737,0,239.6,68.4,-4.4,528,05.11.16
,MP,9521,0,207.0,131.6,-2.1,332,05.11.16
,Maharashtra,20158,0,424.8,124.9,0.8,419,05.11.16
,Goa,450,0,9.3,7.9,0.9,68,05.11.16
,DD,295,0,6.5,6.4,0.1,29,05.11.16
,DNH,744,0,16.9,17.2,-0.3,-8,05.11.16
,Essar steel,373,0,6.6,6.6,0.0,142,05.11.16
SR,Andhra Pradesh,6978,0,162.1,20.0,3.9,551,05.11.16
,Telangana,7561,0,154.3,73.7,0.5,226,05.11.16
,Karnataka,8617,750,198.6,89.5,6.3,610,05.11.16
,Kerala,3428,0,65.1,51.4,2.3,279,05.11.16
,Tamil Nadu,12972,0,277.2,125.6,-1.4,545,05.11.16
,Pondy,341,0,7.0,7.1,-0.1,36,05.11.16
ER,Bihar,3743,0,69.2,65.7,-2.3,302,05.11.16
,DVC,2569,0,60.7,-35.6,-1.3,345,05.11.16
,Jharkhand,1163,0,23.6,13.7,0.2,135,05.11.16
,Odisha,3828,0,68.8,14.7,-0.7,398,05.11.16
,West Bengal,7460,0,127.0,46.5,-1.5,402,05.11.16
,Sikkim,90,0,1.4,1.3,0.1,20,05.11.16
NER,Arunachal Pradesh,114,7,2.0,1.8,0.2,16,05.11.16
,Assam,1431,8,25.3,18.2,2.2,143,05.11.16
,Manipur,131,7,1.9,2.0,-0.2,9,05.11.16
,Meghalaya,235,10,4.6,4.0,-0.5,39,05.11.16
,Mizoram,72,5,1.2,1.4,-0.2,14,05.11.16
,Nagaland,101,4,1.7,1.8,-0.1,12,05.11.16
,Tripura,215,0,3.6,3.5,-0.4,46,05.11.16
RegionRegion,States,"Max. Demand
Met during the
day (MW)","Shortage during
maximum Demand
(MW)","Energy Met
(MU)","Drawal
Schedule (MU)","OD(+)/UD(-)
(MU)","Max OD
(MW)","Energy
Shortage (MU)",05.11.17
NR,Punjab,5293,0,94.3,38.8,-0.4,105,0.0,05.11.17
,Haryana,6387,0,116.6,69.1,2.0,257,0.0,05.11.17
,Rajasthan,10113,140,207.7,60.8,0.6,365,0.3,05.11.17
,Delhi,3313,0,64.7,53.7,0.7,200,0.0,05.11.17
,UP,13248,770,287.7,101.5,-0.6,311,0.5,05.11.17
,Uttarakhand,1680,0,33.1,13.9,0.5,141,0.1,05.11.17
,HP,1308,0,23.8,16.0,0.0,99,0.1,05.11.17
,J&K,1912,478,40.0,34.4,-0.6,103,9.4,05.11.17
,Chandigarh,164,0,3.0,3.5,-0.5,6,0.0,05.11.17
WR,Chhattisgarh,3226,0,69.7,19.8,-1.3,253,1.2,05.11.17
,Gujarat,14580,0,315.9,83.3,-0.7,460,0.0,05.11.17
,MP,11002,0,234.3,159.4,0.8,552,0.0,05.11.17
,Maharashtra,19697,0,413.6,117.5,1.1,433,0.0,05.11.17
,Goa,454,0,9.2,9.0,0.2,47,0.0,05.11.17
,DD,315,0,7.1,6.4,0.6,65,0.0,05.11.17
,DNH,745,0,16.7,16.7,0.1,40,0.0,05.11.17
,Essar steel,513,0,10.2,9.6,0.6,210,0.0,05.11.17
SR,Andhra Pradesh,7488,0,158.6,57.0,0.6,386,0.0,05.11.17
,Telangana,6851,0,151.8,47.0,-1.3,433,0.0,05.11.17
,Karnataka,8980,0,186.9,74.3,2.6,714,8.0,05.11.17
